Number,Priority,Requested for,Configuration item,Short description,State,Assignment group,Assigned to,Child Incidents,Updated,Updated by,Category,Resolution notes,Detailed description,Work notes,Closed by,Created by,Opened by,Reassignment count,Resolved by,Created,Resolved,Resolve time,Days Open
INC1584815,4 - Low,CSDT CSDT,MA Market Intelligence Premium and Benefits Comparison,PRD Tidal Job MA Market Intelligence Premium and Benefits Comparison | 20745792 | Completed Abnormally,Resolved,MgdSvc-ITCS - Grievance and Appeals,Gaurav Singh,0,12-12-2025 09:22:09 PM,system,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"12/08/2025 07:12:29 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

12/08/2025 07:12:29 AM - CSDT CSDT (Work notes)
Parent:\CareModel\BI_Reports\Marketing and Sales Collaboration | Agent: DAYPRDSISAPP01

",,CSDT,CSDT CSDT,1,Gaurav Singh,12-08-2025 07:12:29 AM,12-08-2025 07:38:23 AM,1554,14
INC1512680,4 - Low,CSDT CSDT,ProcessWorkQueueAssignment,PRD Tidal Job ProcessWorkQueueAssignment | 20143978 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Poormitha Kalapala,0,10-14-2025 11:58:06 AM,tmclemo,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/04/2025 01:46:36 AM - Poormitha Kalapala (Work notes)
Ran successfully on next run in same day

07/31/2025 09:25:38 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

07/31/2025 09:25:38 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Poormitha Kalapala,07-31-2025 09:25:38 AM,08-04-2025 01:46:36 AM,318058,14
INC1547368,4 - Low,CSDT CSDT,ProcessWorkQueueAssignment,PRD Tidal Job ProcessWorkQueueAssignment | 20455604 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Divya Suma Pentamraju,0,10-27-2025 11:00:01 AM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"10/06/2025 10:59:50 AM - Divya Suma Pentamraju (Work notes)
The job completed abnormally due to long run duration, since the excel has large data. Actual run time is less than 10 mins. However, the next run completed normally.

10/03/2025 10:10:25 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

10/03/2025 10:10:25 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",,CSDT,CSDT CSDT,0,Divya Suma Pentamraju,10-03-2025 10:10:25 AM,10-06-2025 10:59:50 AM,262165,24
INC1509469,4 - Low,CSDT CSDT,ProcessNewUpdatedGeorgiaAuths,PRD Tidal Job ProcessNewUpdatedGeorgiaAuths | 20079420 | Completed Abnormally,Closed,ITCS - UM Integration,Dudekula Ahmad,0,08-07-2025 04:00:01 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"07/25/2025 05:32:01 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

07/25/2025 04:36:46 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

07/25/2025 03:14:40 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

07/25/2025 07:39:02 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

07/25/2025 07:39:02 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT CSDT,CSDT CSDT,1,Dudekula Ahmad,07-25-2025 07:39:02 AM,07-28-2025 06:23:31 AM,254669,13
INC1527139,4 - Low,CSDT CSDT,CMDocumentToGuidingCareLinkID,PRD Tidal Job CMDocumentToGuidingCareLinkID | 20232469 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Bhuvaneshwaran Saravanan,0,09-11-2025 04:00:00 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/27/2025 02:00:36 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

08/27/2025 02:00:36 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Bhuvaneshwaran Saravanan,08-27-2025 02:00:36 AM,08-29-2025 03:26:48 AM,177972,15
INC1545175,4 - Low,CSDT CSDT,ProcessWorkQueueAssignment,PRD Tidal Job ProcessWorkQueueAssignment | 20438920 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Divya Suma Pentamraju,0,10-14-2025 11:58:19 AM,tmclemo,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"10/01/2025 11:30:12 AM - Divya Suma Pentamraju (Work notes)
The job completed abnormally due to long duration. It took 20 min; the actual run duration is 3mins. However, the next run completed normally.

09/30/2025 07:20:57 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

09/30/2025 07:20:57 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",Tara Brigner,CSDT,CSDT CSDT,0,Divya Suma Pentamraju,09-30-2025 07:20:57 AM,10-01-2025 11:30:12 AM,101355,14
INC1485120,4 - Low,CSDT CSDT,ProcessTocCases,PRD Tidal Job ProcessTocCases | 19874871 | Completed Abnormally,Closed,MgdSvc-ITCS - UM Integration,Harikrishna Chalamala,0,06-26-2025 04:00:00 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/13/2025 07:14:01 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/13/2025 07:14:01 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Harikrishna Chalamala,06-13-2025 07:14:01 AM,06-16-2025 01:55:10 AM,240069,13
INC1518298,4 - Low,CSDT CSDT,NF100DataLoadProfClaims,PRD Tidal Job NF100DataLoadProfClaims | 20195521 | Completed Abnormally,Closed,MgdSvc-ITCS - Clinical Automation,Srikanth Kammadanam,0,09-05-2025 01:00:00 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/22/2025 01:18:22 PM - Srikanth Kammadanam (Work notes)
This is a duplicate ticket. Actual fix will be completed as part of INC1524330. Clinical Automation team is doing the code change for this issue.

08/11/2025 08:02:57 AM - CSDT CSDT (Work notes)
Parent:\CDA\StageMdpData | Agent: DAYPRDAPP07

08/11/2025 08:02:57 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",System Administrator,CSDT,CSDT CSDT,0,Srikanth Kammadanam,08-11-2025 08:02:57 AM,08-22-2025 01:18:22 PM,969325,25
INC1577407,4 - Low,CSDT CSDT,Medicaid & MyCare Enrollment and Marketshare,PRD Tidal Job Medicaid & MyCare Enrollment and Marketshare | 20674770 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Gaurav Singh,0,12-12-2025 09:22:15 PM,system,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"11/24/2025 07:07:36 AM - CSDT CSDT (Work notes)
Parent:\CareModel\BI_Reports\Marketing and Sales Collaboration | Agent: DAYPRDSISAPP01

11/24/2025 07:07:36 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,1,Gaurav Singh,11-24-2025 07:07:36 AM,11-24-2025 08:17:41 AM,4205,11
INC1493947,4 - Low,CSDT CSDT,CareTeamPCPToGuidingCareResponses,PRD Tidal Job CareTeamPCPToGuidingCareResponses | 19945903 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Dudekula Ahmad,0,07-11-2025 04:00:04 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/28/2025 07:10:36 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/28/2025 07:10:36 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,06-28-2025 07:10:36 AM,06-30-2025 06:46:02 AM,171326,13
